model_self_play,task_id,quality_score,total_cost_usd,plan_cost_usd,exec_cost_usd,total_input_tokens,total_output_tokens
GPT-5.4,689f4d693e212e8ef3390731,1.0,0.13035000000000002,0.010905,0.11944500000000001,45786,1059
GPT-5.4,688a441c1a0d2e5c93853e76,0.0,0.76811,0.0252025,0.7429074999999999,284630,3769
GPT-5.4,68925f01db31fe35560e3e97,0.667,0.2904175,0.02033,0.2700875,105397,1795
GPT-5.4,689bd255c0422b257e7dfcf4,0.0,0.22726749999999998,0.01744,0.20982749999999997,80347,1760
GPT-5.4,689e0b1d9c8e2ac413c1f25c,1.0,0.190965,0.0223575,0.1686075,62076,2385
GPT-5.4,68a398aa2f58036e8d45ede8,0.667,0.08234,0.01412,0.06822,25208,1288
GPT-5.4,68925f01db31fe35560e3e9f,0.75,0.0616575,0.02264,0.0390175,12567,2016
GPT-5.4,68993ef3cf3e953b8ab83fa3,0.0,0.050245,0.021315,0.02893,13192,1151
GPT-5.4,689cd6f8522029b7ad7b200a,0.6,0.45680750000000003,0.03173,0.42507750000000005,158681,4007
GPT-5.4,6896416f7b30e5d8ccd7c901,0.9,0.275505,0.031587500000000004,0.2439175,85398,4134
GPT-5.4,6897a6002b64a8c831efa2f6,0.333,0.17851999999999998,0.0203275,0.15819249999999999,61910,1583
GPT-5.4,689bd255c0422b257e7dfcc1,0.4,0.9183049999999999,0.016125,0.9021799999999999,356948,1729
GPT-5.4,6887c6d4614f06dc73af243e,0.167,2.3198450000000004,0.01743,2.3024150000000003,906530,3568
GPT-5.4,689bd255c0422b257e7dfcbb,0.333,0.1562925,0.0205925,0.13570000000000002,53277,1540
GPT-5.4,689bd255c0422b257e7dfcc4,0.0,0.092535,0.019525,0.07301,27348,1611
GPT-5.4,689e0b1d9c8e2ac413c1f211,0.833,0.1538525,0.0271,0.12675250000000002,37529,4002
GPT-5.4,689a373e148a49f91233dfe4,0.75,0.2474975,0.0158525,0.23164500000000002,89159,1640
GPT-5.4,6886306b5ed4da6b2c381189,0.786,0.17313499999999998,0.0284775,0.1446575,52622,2772
GPT-5.4,6896416f7b30e5d8ccd7c8f7,1.0,0.2338175,0.022965,0.2108525,79841,2281
GPT-5.4,6896416f7b30e5d8ccd7c8f0,0.5,0.169135,0.0230025,0.1461325,53884,2295
GPT-5.4,688ba1b3e95696e72dd93e8d,1.0,0.22658999999999999,0.0148625,0.21172749999999999,82170,1411
GPT-5.4,689cd6f8522029b7ad7b1fe7,1.0,0.14881499999999998,0.01267,0.136145,52080,1241
GPT-5.4,689cd6f8522029b7ad7b1fe5,0.0,0.25812,0.017695000000000002,0.240425,86328,2820
GPT-5.4,688ba1b3e95696e72dd93e8a,1.0,0.128455,0.017015,0.11144000000000001,43612,1295
GPT-5.4,689a373e148a49f91233e021,1.0,0.2044975,0.0302225,0.174275,68293,2251
GPT-5.4,689af4e653c3905e7b5b258e,0.75,0.9781325000000001,0.017425000000000003,0.9607075,378167,2181
GPT-5.4,68993ef3cf3e953b8ab83fd5,0.6,0.1891675,0.016295,0.17287249999999998,68095,1262
GPT-5.4,68940d8355faa0b720f0b4b4,1.0,0.30203250000000004,0.01939,0.2826425,112011,1467
GPT-5.4,68993ef3cf3e953b8ab83fe3,1.0,0.090935,0.017242499999999997,0.07369250000000001,27728,1441
GPT-5.4,689f4d693e212e8ef3390707,0.2,0.08447750000000001,0.0250725,0.059405000000000006,18665,2521
GPT-5.4,689f4d693e212e8ef339071f,1.0,0.4582425,0.01702,0.4412225,155835,4577
GPT-5.4,689f4d693e212e8ef3390720,0.8,0.3417875,0.021405,0.3203825,124277,2073
GPT-5.4,6880e844943a73a8c5e412c3,0.25,0.5564125,0.03399,0.5224225,191467,5183
GPT-5.4,689a373e148a49f91233dff0,0.333,0.1297875,0.0304275,0.09936,37545,2395
GPT-5.4,68824c643e6ff020bc33994b,0.4,0.4835875,0.023132500000000004,0.460455,181705,1955
GPT-5.4,68834223448b8fe04df2a592,0.917,0.376285,0.024195,0.35208999999999996,138922,1932
GPT-5.4,68993ef3cf3e953b8ab83fa9,0.929,0.27498999999999996,0.029925,0.24506499999999998,93814,2697
GPT-5.4,68940d8355faa0b720f0b499,0.4,0.29856499999999997,0.024315,0.27425,107540,1981
GPT-5.4,689bd255c0422b257e7dfcad,0.0,0.376145,0.015625,0.36052,129182,3546
GPT-5.4,689bd255c0422b257e7dfcb5,0.5,0.28883000000000003,0.023802500000000004,0.2650275,104408,1854
GPT-5.4,689af4e653c3905e7b5b25b8,1.0,0.19594000000000003,0.027222500000000004,0.16871750000000002,57364,3502
GPT-5.4,689a373e148a49f91233dfd3,1.0,0.09755749999999999,0.02583,0.0717275,25055,2328
GPT-5.4,68925f01db31fe35560e3ea2,0.833,0.0975125,0.014527499999999999,0.082985,30593,1402
GPT-5.4,689cd6f8522029b7ad7b202f,0.0,0.576085,0.014135,0.56195,222088,1391
GPT-5.4,689a373e148a49f91233dfce,1.0,0.17005,0.0116475,0.1584025,62182,973
GPT-5.4,689bd255c0422b257e7dfcbc,0.5,0.38003499999999996,0.021200000000000004,0.35883499999999996,142264,1625
GPT-5.4,6897a6002b64a8c831efa336,0.5,0.18822250000000001,0.0223975,0.165825,63481,1968
GPT-5.4,689f4d693e212e8ef339072a,1.0,0.0883025,0.022185,0.06611750000000001,23885,1906
GPT-5.4,68993ef3cf3e953b8ab83fd3,1.0,0.07870250000000001,0.0147025,0.064,25013,1078
GPT-5.4,689cd6f8522029b7ad7b202a,0.812,0.7238650000000001,0.021207499999999997,0.7026575,277228,2053
GPT-5.4,688fb11183792b921381bd38,1.0,0.0542,0.015434999999999999,0.038765,14414,1211
GPT-5.4,6886306b5ed4da6b2c38117c,0.0,0.1957575,0.021695,0.1740625,67143,1860
GPT-5.4,68925f01db31fe35560e3e85,1.0,0.29312000000000005,0.0181425,0.27497750000000004,107774,1579
GPT-5.4,689af4e653c3905e7b5b2581,0.5,0.2360275,0.023670000000000004,0.2123575,82819,1932
GPT-5.4,689af4e653c3905e7b5b25c2,1.0,0.41214500000000004,0.0224475,0.38969750000000003,153890,1828
GPT-5.4,689a373e148a49f91233dfd6,0.333,0.38881750000000004,0.0237425,0.36507500000000004,143221,2051
GPT-5.4,689bd255c0422b257e7dfcca,0.4,0.099605,0.013985000000000001,0.08562,33278,1094
GPT-5.4,6888e207a34beb25cfedda6a,0.111,0.0601725,0.015785,0.044387499999999996,15843,1371
GPT-5.4,689af4e653c3905e7b5b2596,1.0,0.27005,0.01417,0.25588,101354,1111
GPT-5.4,68952adeba1c2ad4e6a5db6e,0.5,0.246325,0.019087499999999997,0.22723749999999998,88870,1610
Claude-Opus-4.6,689f4d693e212e8ef3390731,0.333,0.216745,0.014465,0.20228,36484,1373
Claude-Opus-4.6,688a441c1a0d2e5c93853e76,0.0,14.858204999999998,0.030895,14.827309999999999,2925696,9189
Claude-Opus-4.6,68925f01db31fe35560e3e97,1.0,0.501845,0.028769999999999997,0.473075,90674,1939
Claude-Opus-4.6,689bd255c0422b257e7dfcf4,0.5,1.004265,0.026935,0.97733,186233,2924
Claude-Opus-4.6,689e0b1d9c8e2ac413c1f25c,1.0,0.213235,0.02249,0.190745,34602,1609
Claude-Opus-4.6,68a398aa2f58036e8d45ede8,0.667,7.2205,0.025685,7.194815,1397215,9377
Claude-Opus-4.6,68925f01db31fe35560e3e9f,0.75,1.844335,0.03305,1.811285,355322,2709
Claude-Opus-4.6,68993ef3cf3e953b8ab83fa3,0.0,0.462305,0.03786,0.424445,79466,2599
Claude-Opus-4.6,689cd6f8522029b7ad7b200a,1.0,4.402749999999999,0.034640000000000004,4.36811,845005,7109
Claude-Opus-4.6,6896416f7b30e5d8ccd7c901,0.9,0.49407999999999996,0.035464999999999997,0.45861499999999994,86636,2436
Claude-Opus-4.6,6897a6002b64a8c831efa2f6,1.0,0.498705,0.026315,0.47239000000000003,89991,1950
Claude-Opus-4.6,689bd255c0422b257e7dfcc1,0.4,0.7505900000000001,0.029789999999999997,0.7208000000000001,137573,2509
Claude-Opus-4.6,6887c6d4614f06dc73af243e,1.0,1.4796150000000001,0.03516,1.444455,262048,6775
Claude-Opus-4.6,689bd255c0422b257e7dfcbb,1.0,0.43134500000000003,0.024005,0.40734000000000004,77089,1836
Claude-Opus-4.6,689bd255c0422b257e7dfcc4,0.0,2.8850200000000004,0.01986,2.8651600000000004,537094,7982
Claude-Opus-4.6,689e0b1d9c8e2ac413c1f211,0.667,0.44916,0.035125,0.414035,70617,3843
Claude-Opus-4.6,689a373e148a49f91233dfe4,0.875,0.675675,0.029609999999999997,0.646065,120950,2837
Claude-Opus-4.6,6886306b5ed4da6b2c381189,1.0,0.2584,0.030785,0.227615,39495,2437
Claude-Opus-4.6,6896416f7b30e5d8ccd7c8f7,0.833,0.358505,0.027604999999999998,0.3309,57321,2876
Claude-Opus-4.6,6896416f7b30e5d8ccd7c8f0,0.875,0.19751000000000002,0.027265,0.170245,28107,2279
Claude-Opus-4.6,688ba1b3e95696e72dd93e8d,0.8,0.38531,0.031615000000000004,0.353695,66937,2025
Claude-Opus-4.6,689cd6f8522029b7ad7b1fe7,1.0,0.18345,0.02317,0.16028,27940,1750
Claude-Opus-4.6,689cd6f8522029b7ad7b1fe5,0.0,0.21848,0.02697,0.19151,34031,1933
Claude-Opus-4.6,688ba1b3e95696e72dd93e8a,1.0,0.341535,0.028865,0.31267,58822,1897
Claude-Opus-4.6,689a373e148a49f91233e021,1.0,0.1876,0.03247,0.15513,28900,1724
Claude-Opus-4.6,689af4e653c3905e7b5b258e,1.0,2.7277500000000003,0.029005000000000003,2.698745,523615,4387
Claude-Opus-4.6,68993ef3cf3e953b8ab83fd5,0.6,1.7194150000000001,0.025599999999999998,1.693815,325738,3629
Claude-Opus-4.6,68940d8355faa0b720f0b4b4,1.0,0.67726,0.02933,0.64793,125617,1967
Claude-Opus-4.6,68993ef3cf3e953b8ab83fe3,1.0,0.29784499999999997,0.027295,0.27054999999999996,48569,2200
Claude-Opus-4.6,689f4d693e212e8ef3390707,0.2,0.306965,0.03423,0.272735,50208,2237
Claude-Opus-4.6,689f4d693e212e8ef339071f,1.0,0.50271,0.030344999999999997,0.472365,74577,5193
Claude-Opus-4.6,689f4d693e212e8ef3390720,0.8,0.8470449999999999,0.031415,0.81563,157004,2481
Claude-Opus-4.6,6880e844943a73a8c5e412c3,0.333,2.49892,0.03418,2.46474,471714,5614
Claude-Opus-4.6,689a373e148a49f91233dff0,1.0,0.291565,0.026334999999999997,0.26523,47288,2205
Claude-Opus-4.6,68824c643e6ff020bc33994b,0.4,0.779385,0.034885,0.7444999999999999,141257,2924
Claude-Opus-4.6,68834223448b8fe04df2a592,0.833,0.520965,0.03505,0.485915,89208,2997
Claude-Opus-4.6,68993ef3cf3e953b8ab83fa9,0.929,0.61932,0.042005,0.577315,111159,2541
Claude-Opus-4.6,68940d8355faa0b720f0b499,1.0,0.7366,0.035815,0.700785,132430,2978
Claude-Opus-4.6,689bd255c0422b257e7dfcad,1.0,1.2625950000000001,0.02109,1.241505,239034,2697
Claude-Opus-4.6,689bd255c0422b257e7dfcb5,1.0,1.210245,0.03045,1.179795,227939,2822
Claude-Opus-4.6,689af4e653c3905e7b5b25b8,1.0,0.5658,0.03623,0.52957,93305,3971
Claude-Opus-4.6,689a373e148a49f91233dfd3,1.0,0.18580000000000002,0.02249,0.16331,28860,1660
Claude-Opus-4.6,68925f01db31fe35560e3ea2,1.0,0.14617,0.020645,0.125525,21379,1571
Claude-Opus-4.6,689cd6f8522029b7ad7b202f,0.0,0.846615,0.029335000000000003,0.81728,154568,2951
Claude-Opus-4.6,689a373e148a49f91233dfce,1.0,3.198235,0.021824999999999997,3.1764099999999997,632017,1526
Claude-Opus-4.6,689bd255c0422b257e7dfcbc,1.0,1.1545,0.022275,1.132225,220490,2082
Claude-Opus-4.6,6897a6002b64a8c831efa336,0.0,1.369755,0.030535,1.33922,258446,3101
Claude-Opus-4.6,689f4d693e212e8ef339072a,1.0,0.22751,0.019110000000000002,0.2084,37307,1639
Claude-Opus-4.6,68993ef3cf3e953b8ab83fd3,1.0,0.17772500000000002,0.01591,0.16181500000000001,29855,1138
Claude-Opus-4.6,689cd6f8522029b7ad7b202a,1.0,1.1996499999999999,0.021310000000000003,1.17834,229355,2115
Claude-Opus-4.6,688fb11183792b921381bd38,1.0,0.18275,0.025034999999999998,0.157715,26695,1971
Claude-Opus-4.6,6886306b5ed4da6b2c38117c,0.6,0.41492,0.026820000000000004,0.3881,71819,2233
Claude-Opus-4.6,68925f01db31fe35560e3e85,1.0,0.90949,0.026584999999999998,0.882905,162118,3956
Claude-Opus-4.6,689af4e653c3905e7b5b2581,1.0,1.526755,0.029165000000000003,1.49759,283576,4355
Claude-Opus-4.6,689af4e653c3905e7b5b25c2,1.0,0.6563149999999999,0.024245,0.6320699999999999,120218,2209
Claude-Opus-4.6,689a373e148a49f91233dfd6,0.333,3.47009,0.036075,3.434015,656103,7583
Claude-Opus-4.6,689bd255c0422b257e7dfcca,0.4,0.295725,0.026145,0.26958,50000,1829
Claude-Opus-4.6,6888e207a34beb25cfedda6a,1.0,0.14125000000000001,0.02415,0.11710000000000001,16130,2424
Claude-Opus-4.6,689af4e653c3905e7b5b2596,1.0,1.28873,0.028055,1.260675,243621,2825
Claude-Opus-4.6,68952adeba1c2ad4e6a5db6e,1.0,0.7966449999999999,0.020075000000000003,0.77657,144589,2948
MiniMax-M2.7,689f4d693e212e8ef3390731,1.0,0.031302,0.0012392000000000002,0.030062800000000004,69679,2144
MiniMax-M2.7,688a441c1a0d2e5c93853e76,0.0,0.42605680000000007,0.0013916,0.4246652000000001,1035870,7318
MiniMax-M2.7,68925f01db31fe35560e3e97,0.333,0.0525856,0.0013540000000000002,0.0512316,118092,3343
MiniMax-M2.7,689bd255c0422b257e7dfcf4,0.0,0.0723312,0.0012820000000000002,0.07104919999999999,165800,3757
MiniMax-M2.7,689e0b1d9c8e2ac413c1f25c,1.0,0.0180036,0.0011572000000000002,0.0168464,37929,1770
MiniMax-M2.7,68a398aa2f58036e8d45ede8,0.667,1.45487,0.0010944000000000001,1.4537756000000002,3601915,8815
MiniMax-M2.7,68925f01db31fe35560e3e9f,0.75,0.0129732,0.0017612000000000003,0.011212,23141,2323
MiniMax-M2.7,68993ef3cf3e953b8ab83fa3,0.0,0.03316000000000001,0.0018808000000000002,0.03127920000000001,74728,2043
MiniMax-M2.7,689cd6f8522029b7ad7b200a,0.6,0.3767520000000001,0.0015564,0.3751956000000001,913164,7179
MiniMax-M2.7,6896416f7b30e5d8ccd7c901,1.0,0.0301768,0.0017624000000000003,0.0284144,66378,2266
MiniMax-M2.7,6897a6002b64a8c831efa2f6,1.0,0.0559472,0.0013824000000000002,0.054564800000000004,131516,2088
MiniMax-M2.7,689bd255c0422b257e7dfcc1,0.2,0.0425732,0.0013556,0.0412176,95413,2755
MiniMax-M2.7,6887c6d4614f06dc73af243e,1.0,0.15333080000000002,0.0013716,0.15195920000000002,350023,8326
MiniMax-M2.7,689bd255c0422b257e7dfcbb,1.0,0.0448648,0.0012036000000000002,0.043661200000000004,105122,1760
MiniMax-M2.7,689bd255c0422b257e7dfcc4,0.0,0.049527600000000005,0.0010604,0.0484672,106623,4299
MiniMax-M2.7,689e0b1d9c8e2ac413c1f211,0.667,0.0888296,0.0014356,0.087394,194014,7015
MiniMax-M2.7,689a373e148a49f91233dfe4,0.875,0.0320148,0.0013616000000000001,0.030653200000000002,70889,2287
MiniMax-M2.7,6886306b5ed4da6b2c381189,0.929,0.044234,0.0017348,0.0424992,92861,4431
MiniMax-M2.7,6896416f7b30e5d8ccd7c8f7,0.917,0.028458000000000004,0.0014964000000000002,0.026961600000000002,62617,2132
MiniMax-M2.7,6896416f7b30e5d8ccd7c8f0,0.75,0.027822000000000003,0.0017588000000000003,0.0260632,56899,3164
MiniMax-M2.7,688ba1b3e95696e72dd93e8d,1.0,0.0525748,0.0014224,0.0511524,120465,2743
MiniMax-M2.7,689cd6f8522029b7ad7b1fe7,1.0,0.0600188,0.0009212000000000001,0.0590976,142459,1897
MiniMax-M2.7,689cd6f8522029b7ad7b1fe5,0.0,0.0222992,0.0013460000000000002,0.0209532,48124,1906
MiniMax-M2.7,688ba1b3e95696e72dd93e8a,1.0,0.0160724,0.0013896000000000002,0.014682800000000001,32913,1817
MiniMax-M2.7,689a373e148a49f91233e021,1.0,0.013098,0.0019208,0.0111772,25677,1767
MiniMax-M2.7,689af4e653c3905e7b5b258e,0.75,0.8230044000000002,0.0012056,0.8217988000000002,2030467,6761
MiniMax-M2.7,68993ef3cf3e953b8ab83fd5,0.6,0.34953559999999995,0.0010840000000000001,0.3484516,835947,9473
MiniMax-M2.7,68940d8355faa0b720f0b4b4,1.0,0.044093200000000006,0.0011551999999999999,0.042938000000000004,102917,1829
MiniMax-M2.7,68993ef3cf3e953b8ab83fe3,1.0,0.024116000000000002,0.0013824,0.022733600000000003,49246,2761
MiniMax-M2.7,689f4d693e212e8ef3390707,0.0,0.06818,0.0015468,0.0666332,158470,2995
MiniMax-M2.7,689f4d693e212e8ef339071f,0.5,0.2468524,0.0012988,0.2455536,484303,33207
MiniMax-M2.7,689f4d693e212e8ef3390720,0.8,0.0522036,0.00165,0.050553600000000004,122213,2074
MiniMax-M2.7,6880e844943a73a8c5e412c3,0.0,0.15190279999999998,0.0013540000000000002,0.15054879999999998,356813,5736
MiniMax-M2.7,689a373e148a49f91233dff0,0.333,0.0291936,0.0013924,0.0278012,54316,4667
MiniMax-M2.7,68824c643e6ff020bc33994b,0.4,0.235894,0.0019776000000000004,0.2339164,563055,6670
MiniMax-M2.7,68834223448b8fe04df2a592,0.833,0.0327944,0.0013008,0.031493600000000004,73594,2098
MiniMax-M2.7,68993ef3cf3e953b8ab83fa9,0.929,0.0383708,0.002648,0.0357228,86667,2315
MiniMax-M2.7,68940d8355faa0b720f0b499,1.0,0.04710160000000001,0.0016924000000000002,0.045409200000000004,106378,2844
MiniMax-M2.7,689bd255c0422b257e7dfcad,0.125,0.34657080000000007,0.0009612,0.3456096000000001,839599,6707
MiniMax-M2.7,689bd255c0422b257e7dfcb5,1.0,0.06741,0.0013576,0.0660524,158093,2608
MiniMax-M2.7,689af4e653c3905e7b5b25b8,1.0,0.0289084,0.0009472,0.027961200000000002,41023,7812
MiniMax-M2.7,689a373e148a49f91233dfd3,1.0,0.011361200000000002,0.0015256,0.009835600000000002,20495,1977
MiniMax-M2.7,68925f01db31fe35560e3ea2,1.0,0.0208924,0.0012192000000000001,0.0196732,46007,1556
MiniMax-M2.7,689cd6f8522029b7ad7b202f,0.0,0.2526528,0.0009688000000000001,0.251684,618140,3373
MiniMax-M2.7,689a373e148a49f91233dfce,1.0,0.057555999999999996,0.001336,0.05622,137410,1620
MiniMax-M2.7,689bd255c0422b257e7dfcbc,0.5,0.10156280000000002,0.0016348,0.09992800000000002,240703,3301
MiniMax-M2.7,6897a6002b64a8c831efa336,0.333,0.19107080000000004,0.0012224000000000002,0.18984840000000003,464189,3372
MiniMax-M2.7,689f4d693e212e8ef339072a,1.0,0.014932,0.0011672000000000002,0.0137648,29102,2057
MiniMax-M2.7,68993ef3cf3e953b8ab83fd3,1.0,0.011385600000000003,0.0013824000000000002,0.010003200000000002,22876,1397
MiniMax-M2.7,689cd6f8522029b7ad7b202a,1.0,0.06851199999999999,0.0013324000000000003,0.06717959999999999,163464,1954
MiniMax-M2.7,688fb11183792b921381bd38,1.0,0.011978,0.0010932000000000001,0.0108848,23785,1540
MiniMax-M2.7,6886306b5ed4da6b2c38117c,0.0,0.012011200000000001,0.0010448,0.010966400000000001,24644,1346
MiniMax-M2.7,68925f01db31fe35560e3e85,1.0,0.07096160000000001,0.0014267999999999998,0.06953480000000001,163888,3379
MiniMax-M2.7,689af4e653c3905e7b5b2581,0.0,0.09448200000000001,0.0013192,0.0931628,220777,3857
MiniMax-M2.7,689af4e653c3905e7b5b25c2,0.333,0.05632360000000001,0.0011436,0.05518000000000001,128605,3051
MiniMax-M2.7,689a373e148a49f91233dfd6,0.333,0.0274124,0.0018504,0.025562,59443,2272
MiniMax-M2.7,689bd255c0422b257e7dfcca,0.4,0.020662,0.0011652,0.019496799999999998,44407,1812
MiniMax-M2.7,6888e207a34beb25cfedda6a,1.0,0.0092764,0.0011987999999999999,0.0080776,14279,2228
MiniMax-M2.7,689af4e653c3905e7b5b2596,0.5,0.0350656,0.0018708000000000002,0.033194800000000003,79092,2143
MiniMax-M2.7,68952adeba1c2ad4e6a5db6e,0.0,0.6269772,0.0013708,0.6256064,1560159,1821
GLM-5.1,689f4d693e212e8ef3390731,1.0,0.042562699999999995,0.0017188,0.040843899999999995,40111,1415
GLM-5.1,688a441c1a0d2e5c93853e76,0.25,1.5446883,0.0027683,1.54192,1596822,8796
GLM-5.1,68925f01db31fe35560e3e97,1.0,0.09262314999999999,0.00270425,0.08991889999999998,91460,1821
GLM-5.1,689bd255c0422b257e7dfcf4,1.0,0.13063585,0.00199465,0.1286412,130976,1971
GLM-5.1,689e0b1d9c8e2ac413c1f25c,1.0,0.0184626,0.0027686,0.015694,13068,1920
GLM-5.1,68a398aa2f58036e8d45ede8,0.0,1.00295885,0.0023255,1.00063335,1001281,16426
GLM-5.1,68925f01db31fe35560e3e9f,0.75,0.0289399,0.0034602500000000002,0.02547965,23354,2144
GLM-5.1,68993ef3cf3e953b8ab83fa3,0.0,0.07073084999999998,0.0040808,0.06665004999999999,66111,2516
GLM-5.1,689cd6f8522029b7ad7b200a,1.0,0.6590561,0.0038702,0.6551859,661285,9789
GLM-5.1,6896416f7b30e5d8ccd7c901,0.9,0.038093999999999996,0.00364875,0.03444525,33978,1846
GLM-5.1,6897a6002b64a8c831efa2f6,1.0,0.12183825,0.00331405,0.1185242,122478,1741
GLM-5.1,689bd255c0422b257e7dfcc1,0.4,0.14158839999999998,0.0028883999999999997,0.13869999999999996,139985,2731
GLM-5.1,6887c6d4614f06dc73af243e,1.0,0.2044545,0.0025849999999999996,0.2018695,199704,4678
GLM-5.1,689bd255c0422b257e7dfcbb,1.0,0.06227749999999999,0.00203385,0.060243649999999996,61069,1353
GLM-5.1,689bd255c0422b257e7dfcc4,0.0,0.06352795,0.0020073,0.061520649999999996,55757,3352
GLM-5.1,689e0b1d9c8e2ac413c1f211,0.833,0.25125745,0.0025987499999999995,0.24865869999999998,243035,6468
GLM-5.1,689a373e148a49f91233dfe4,0.75,0.0499478,0.00274975,0.04719805,46333,1883
GLM-5.1,6886306b5ed4da6b2c381189,1.0,0.040401950000000006,0.0041339,0.03626805,34282,2487
GLM-5.1,6896416f7b30e5d8ccd7c8f7,1.0,0.04927665,0.0023031,0.046973549999999996,44718,2157
GLM-5.1,6896416f7b30e5d8ccd7c8f0,0.75,0.049235299999999996,0.00201765,0.04721764999999999,44701,2149
GLM-5.1,688ba1b3e95696e72dd93e8d,1.0,0.14345539999999998,0.0024147,0.1410407,144772,1880
GLM-5.1,689cd6f8522029b7ad7b1fe7,1.0,0.06266519999999999,0.00217035,0.060494849999999996,60615,1613
GLM-5.1,689cd6f8522029b7ad7b1fe5,0.0,0.0442066,0.0032465,0.0409601,40220,1904
GLM-5.1,688ba1b3e95696e72dd93e8a,1.0,0.0436578,0.0035804999999999995,0.040077299999999996,39387,1981
GLM-5.1,689a373e148a49f91233e021,1.0,0.02548345,0.002557,0.02292645,22733,1234
GLM-5.1,689af4e653c3905e7b5b258e,0.75,0.77278045,0.0031608,0.76961965,789659,7176
GLM-5.1,68993ef3cf3e953b8ab83fd5,0.6,0.6428246,0.00223715,0.64058745,664966,3526
GLM-5.1,68940d8355faa0b720f0b4b4,1.0,0.09633344999999999,0.0024051,0.09392835,94152,2187
GLM-5.1,68993ef3cf3e953b8ab83fe3,1.0,0.04027205,0.00212345,0.0381486,36400,1807
GLM-5.1,689f4d693e212e8ef3390707,0.2,0.07548555,0.0028449499999999997,0.0726406,70476,2709
GLM-5.1,689f4d693e212e8ef339071f,1.0,0.038064549999999996,0.0023325999999999998,0.03573195,26450,4107
GLM-5.1,689f4d693e212e8ef3390720,0.8,0.07057935,0.0030863999999999996,0.06749295,67563,2030
GLM-5.1,6880e844943a73a8c5e412c3,1.0,0.17994319999999997,0.0044786999999999995,0.17546449999999997,167533,6599
GLM-5.1,689a373e148a49f91233dff0,1.0,0.028523350000000003,0.00193785,0.0265855,24212,1753
GLM-5.1,68824c643e6ff020bc33994b,0.4,0.5157093,0.0039171,0.5117922,528216,4414
GLM-5.1,68834223448b8fe04df2a592,0.833,0.059129249999999994,0.00345575,0.055673499999999994,55056,2167
GLM-5.1,68993ef3cf3e953b8ab83fa9,0.929,0.14104389999999997,0.0050274,0.13601649999999998,141902,1980
GLM-5.1,68940d8355faa0b720f0b499,1.0,0.1311022,0.00255385,0.12854835,128171,2965
GLM-5.1,689bd255c0422b257e7dfcad,1.0,0.2960594,0.0022356,0.29382379999999997,292957,5635
GLM-5.1,689bd255c0422b257e7dfcb5,1.0,0.21978119999999998,0.00370685,0.21607434999999997,220065,3403
GLM-5.1,689af4e653c3905e7b5b25b8,1.0,0.07760985,0.0030007999999999996,0.07460905,68952,3843
GLM-5.1,689a373e148a49f91233dfd3,1.0,0.02464295,0.002355,0.02228795,21268,1409
GLM-5.1,68925f01db31fe35560e3ea2,1.0,0.02661545,0.0020524,0.02456305,23089,1486
GLM-5.1,689cd6f8522029b7ad7b202f,0.5,0.18035359999999998,0.00213195,0.17822164999999998,179683,3065
GLM-5.1,689a373e148a49f91233dfce,0.0,0.0843588,0.00185575,0.08250305,86733,623
GLM-5.1,689bd255c0422b257e7dfcbc,1.0,0.20755444999999997,0.0038145,0.20373994999999998,209539,2696
GLM-5.1,6897a6002b64a8c831efa336,0.5,0.07535945000000001,0.0022949,0.07306455,73795,1668
GLM-5.1,689f4d693e212e8ef339072a,1.0,0.030356849999999998,0.00202505,0.028331799999999997,27213,1430
GLM-5.1,68993ef3cf3e953b8ab83fd3,1.0,0.03290285,0.0040323,0.02887055,28822,1753
GLM-5.1,689cd6f8522029b7ad7b202a,1.0,0.0957034,0.0041182,0.09158519999999999,92567,2465
GLM-5.1,688fb11183792b921381bd38,1.0,0.02363205,0.0025122499999999997,0.0211198,19302,1681
GLM-5.1,6886306b5ed4da6b2c38117c,1.0,0.0997419,0.00283205,0.09690984999999999,72510,9796
GLM-5.1,68925f01db31fe35560e3e85,1.0,0.18279605,0.002567,0.18022905,181435,3312
GLM-5.1,689af4e653c3905e7b5b2581,1.0,0.0972323,0.0035480999999999998,0.0936842,94939,2235
GLM-5.1,689af4e653c3905e7b5b25c2,1.0,0.13511439999999997,0.0022398,0.13287459999999998,135425,2051
GLM-5.1,689a373e148a49f91233dfd6,0.333,0.11051615,0.00305745,0.10745869999999999,106087,3090
GLM-5.1,689bd255c0422b257e7dfcca,0.4,0.05308905,0.0023344999999999998,0.050754549999999996,51072,1451
GLM-5.1,6888e207a34beb25cfedda6a,1.0,0.022735949999999998,0.0027049500000000002,0.020030999999999997,16104,2361
GLM-5.1,689af4e653c3905e7b5b2596,1.0,0.17694219999999997,0.00188075,0.17506144999999998,176984,2796
GLM-5.1,68952adeba1c2ad4e6a5db6e,0.0,0.1083362,0.0025320499999999997,0.10580415,110908,944
