benchmark,planner,executor,team_type,accuracy_pct,cost_per_task_usd
MCP-Atlas,GPT-5.4,GPT-5.4,homogeneous,70.7,0.6574
MCP-Atlas,GPT-5.4,Claude-Opus-4.6,heterogeneous,35.4,0.2393
MCP-Atlas,GPT-5.4,MiniMax-M2.7,heterogeneous,80.4,0.0841
MCP-Atlas,GPT-5.4,GLM-5.1,heterogeneous,67.0,0.2366
MCP-Atlas,Claude-Opus-4.6,GPT-5.4,heterogeneous,68.8,0.4393
MCP-Atlas,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,51.3,0.2943
MCP-Atlas,Claude-Opus-4.6,MiniMax-M2.7,heterogeneous,66.1,0.1052
MCP-Atlas,Claude-Opus-4.6,GLM-5.1,heterogeneous,69.1,0.2136
MCP-Atlas,MiniMax-M2.7,GPT-5.4,heterogeneous,63.2,0.3477
MCP-Atlas,MiniMax-M2.7,Claude-Opus-4.6,heterogeneous,70.3,0.4393
MCP-Atlas,MiniMax-M2.7,MiniMax-M2.7,homogeneous,68.5,0.0599
MCP-Atlas,MiniMax-M2.7,GLM-5.1,heterogeneous,71.1,0.1297
MCP-Atlas,GLM-5.1,GPT-5.4,heterogeneous,68.3,0.5137
MCP-Atlas,GLM-5.1,Claude-Opus-4.6,heterogeneous,79.1,0.4842
MCP-Atlas,GLM-5.1,MiniMax-M2.7,heterogeneous,69.9,0.0798
MCP-Atlas,GLM-5.1,GLM-5.1,homogeneous,72.4,0.1560
MedAgentBench,GPT-5.4,GPT-5.4,homogeneous,71.7,0.0522
MedAgentBench,GPT-5.4,Claude-Opus-4.6,heterogeneous,88.3,0.1128
MedAgentBench,GPT-5.4,MiniMax-M2.7,heterogeneous,76.7,0.0298
MedAgentBench,GPT-5.4,GLM-5.1,heterogeneous,93.3,0.0377
MedAgentBench,Claude-Opus-4.6,GPT-5.4,heterogeneous,83.3,0.0913
MedAgentBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,93.3,0.1419
MedAgentBench,Claude-Opus-4.6,MiniMax-M2.7,heterogeneous,93.3,0.0601
MedAgentBench,Claude-Opus-4.6,GLM-5.1,heterogeneous,93.3,0.0790
MedAgentBench,MiniMax-M2.7,GPT-5.4,heterogeneous,58.3,0.0326
MedAgentBench,MiniMax-M2.7,Claude-Opus-4.6,heterogeneous,86.7,0.0939
MedAgentBench,MiniMax-M2.7,MiniMax-M2.7,homogeneous,73.3,0.0109
MedAgentBench,MiniMax-M2.7,GLM-5.1,heterogeneous,80.0,0.0170
MedAgentBench,GLM-5.1,GPT-5.4,heterogeneous,61.7,0.0449
MedAgentBench,GLM-5.1,Claude-Opus-4.6,heterogeneous,90.0,0.1204
MedAgentBench,GLM-5.1,MiniMax-M2.7,heterogeneous,86.7,0.0175
MedAgentBench,GLM-5.1,GLM-5.1,homogeneous,90.0,0.0257
FinanceBench,GPT-5.4,GPT-5.4,homogeneous,44.7,0.0290
FinanceBench,GPT-5.4,Claude-Opus-4.6,heterogeneous,47.3,0.3638
FinanceBench,GPT-5.4,MiniMax-M2.7,heterogeneous,47.3,0.0235
FinanceBench,GPT-5.4,GLM-5.1,heterogeneous,43.3,0.0875
FinanceBench,Claude-Opus-4.6,GPT-5.4,heterogeneous,44.7,0.0667
FinanceBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,45.3,0.2404
FinanceBench,Claude-Opus-4.6,MiniMax-M2.7,heterogeneous,32.7,0.0479
FinanceBench,Claude-Opus-4.6,GLM-5.1,heterogeneous,43.3,0.1161
FinanceBench,MiniMax-M2.7,GPT-5.4,heterogeneous,34.7,0.0228
FinanceBench,MiniMax-M2.7,Claude-Opus-4.6,heterogeneous,38.0,0.3243
FinanceBench,MiniMax-M2.7,MiniMax-M2.7,homogeneous,48.7,0.0139
FinanceBench,MiniMax-M2.7,GLM-5.1,heterogeneous,53.3,0.0830
FinanceBench,GLM-5.1,GPT-5.4,heterogeneous,41.3,0.0245
FinanceBench,GLM-5.1,Claude-Opus-4.6,heterogeneous,40.7,0.3174
FinanceBench,GLM-5.1,MiniMax-M2.7,heterogeneous,47.3,0.0126
FinanceBench,GLM-5.1,GLM-5.1,homogeneous,54.7,0.0879
IMO-AnswerBench,GPT-5.4,GPT-5.4,homogeneous,54.0,0.1533
IMO-AnswerBench,GPT-5.4,Claude-Opus-4.6,heterogeneous,76.0,0.6302
IMO-AnswerBench,GPT-5.4,MiniMax-M2.7,heterogeneous,56.2,0.1772
IMO-AnswerBench,GPT-5.4,GLM-5.1,heterogeneous,68.8,0.5573
IMO-AnswerBench,Claude-Opus-4.6,GPT-5.4,heterogeneous,71.9,0.1948
IMO-AnswerBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,80.2,1.6040
IMO-AnswerBench,Claude-Opus-4.6,MiniMax-M2.7,heterogeneous,71.9,0.2868
IMO-AnswerBench,Claude-Opus-4.6,GLM-5.1,heterogeneous,75.9,0.4939
IMO-AnswerBench,MiniMax-M2.7,GPT-5.4,heterogeneous,62.5,0.0611
IMO-AnswerBench,MiniMax-M2.7,Claude-Opus-4.6,heterogeneous,74.2,1.4619
IMO-AnswerBench,MiniMax-M2.7,MiniMax-M2.7,homogeneous,59.4,0.1338
IMO-AnswerBench,MiniMax-M2.7,GLM-5.1,heterogeneous,65.6,0.2802
IMO-AnswerBench,GLM-5.1,GPT-5.4,heterogeneous,68.8,0.0887
IMO-AnswerBench,GLM-5.1,Claude-Opus-4.6,heterogeneous,75.4,0.7372
IMO-AnswerBench,GLM-5.1,MiniMax-M2.7,heterogeneous,62.5,0.2086
IMO-AnswerBench,GLM-5.1,GLM-5.1,homogeneous,62.5,0.3329
SWEBench,GPT-5.4,GPT-5.4,homogeneous,68.2,0.0300
SWEBench,GPT-5.4,Claude-Opus-4.6,heterogeneous,71.6,
SWEBench,GPT-5.4,MiniMax-M2.7,heterogeneous,76.2,0.0210
SWEBench,Claude-Opus-4.6,GPT-5.4,heterogeneous,31.7,
SWEBench,Claude-Opus-4.6,Claude-Opus-4.6,homogeneous,32.4,0.0630
SWEBench,Claude-Opus-4.6,MiniMax-M2.7,heterogeneous,60.1,
SWEBench,MiniMax-M2.7,GPT-5.4,heterogeneous,48.1,
SWEBench,MiniMax-M2.7,Claude-Opus-4.6,heterogeneous,19.7,
SWEBench,MiniMax-M2.7,MiniMax-M2.7,homogeneous,20.2,
